RUBRIEK;INVENTARISNUMMER;SERIENUMMER;TITLE;WRITER;AANTAL SCANS;STATUS
174;4187B;NOTA00282;4187B_NOTA00282;DIRK VAN DER GROE;419;HTR
174;4195A;NOTA00284;4195A_NOTA00284;DIRK VAN DER GROE;385;HTR
174;4195B;KLAB09105;4195B_KLAB09105;DIRK VAN DER GROE;399;HTR
174;4215A;NOTA00292;4215A_NOTA00292;DIRK VAN DER GROE;377;HTR
174;4215B;NOTA00293;4215B_NOTA00293;DIRK VAN DER GROE;434;HTR
174;4216A;NOTA00294;4216A_NOTA00294;DIRK VAN DER GROE;387;HTR
174;4216B;NOTA00295;4216B_NOTA00295;DIRK VAN DER GROE;429;HTR
174;4218A;NOTA00298;4218A_NOTA00298;DIRK VAN DER GROE;396;HTR
174;4218B;NOTA00297;4218B_NOTA00297;DIRK VAN DER GROE;329;HTR
174;4223A;NOTA00304;4223A_NOTA00304;DIRK VAN DER GROE;349;HTR
174;4223B;NOTA00303;4223B_NOTA00303;DIRK VAN DER GROE;340;HTR
174;4224A;NOTA00305;4224A_NOTA00305;DIRK VAN DER GROE;355;HTR
174;4224B;NOTA00306;4224B_NOTA00306;DIRK VAN DER GROE;409;HTR
174;4253A;NOTA00325;4253A_NOTA00325;DIRK VAN DER GROE;397;HTR
174;4253B;KLAB05919;4253B_KLAB05919;DIRK VAN DER GROE;389;HTR
174;4254A;A25174;4254A_A25174;DIRK VAN DER GROE;378;HTR
174;4254B;A25145;4254B_A25145;DIRK VAN DER GROE;543;HTR
18;481B;A26334;481B_A26334;PALM MATHIJSZ;326;GT
20;562A;A25337;562A_A25337;JACOB JANSZ WESTFRISIUS;110;GT
300;8304A;VBPD00001;8304A_VBPD00001;WILLEM DE FAY;400;HTR
300;8304B;VBPD00002;8304B_VBPD00002;WILLEM DE FAY;414;HTR
300;8305A;VBPD00003;8305A_VBPD00003;WILLEM DE FAY;394;HTR
300;8305B;VBPD00004;8305B_VBPD00004;WILLEM DE FAY;444;HTR
300;8306A;VBPD00005;8306A_VBPD00005;WILLEM DE FAY;456;HTR
300;8306B;VBPD00006;8306B_VBPD00006;WILLEM DE FAY;426;HTR
300;8307A;VBPD00007;8307A_VBPD00007;WILLEM DE FAY;382;HTR
300;8307B;VBPD00008;8307B_VBPD00008;WILLEM DE FAY;306;HTR
300;8307C;VBPD00009;8307C_VBPD00009;WILLEM DE FAY;464;HTR
300;8308A;VBPD00010;8308A_VBPD00010;WILLEM DE FAY;508;HTR
300;8308B;VBPD00011;8308B_VBPD00011;WILLEM DE FAY;464;HTR
